question,subject,use,possible_answers,correct_answers
A quoi faire attention lorsqu'on choisit un système de base de données ?,BDD,Test de positionnement,"[""La définition d'un schéma"", 'La rapidité de lecture/écriture', 'La différenciation des accés', 'Tous ces points']",['Tous ces points']
A quoi sert Docker-Compose ?,Automation,Test de validation,"['A répertorier les images publiques de containers', 'A déployer plusieurs containers en même temps', 'A créer sa propre image Docker', 'Tous ces points']","['A répertorier les images publiques de containers', 'A déployer plusieurs containers en même temps']"
A way to handle imbalanced datasets is,Machine Learning,Total Bootcamp,"['Filtering', 'Under sampling', 'Over sampling']","['Under sampling', 'Over sampling']"
Are every datasets worth a Data Science project ?,Data Science,Total Bootcamp,"['No.', ""If it's big enough, yes."", 'Yes.']",['No.']
Cassandra et HBase sont des bases de données,BDD,Test de positionnement,"['relationnelles', 'orientées objet', 'orientées colonne', 'orientées graphe']",['orientées colonne']
Classification,Machine Learning,Total Bootcamp,"['Is used when the target we aim to predict is continuous.', 'Is used when the target we aim to work on is discrete.', 'Is not a method needing artificial intelligence techniques.']",['Is used when the target we aim to work on is discrete.']
"Dans Airflow, le DAG répertorie",Automation,Test de validation,"['Les tâches à effectuer', ""Les actions à prendre en cas d'échecs"", ""L'enchaînement des tâches à effectuer"", 'Tous ces points']",['Tous ces points']
"Dans Hadoop, les combiners permettent",Systèmes distribués,Test de positionnement,"['de combiner les entrées et les sorties', 'de mieux distribuer la charge lors de la phase de Shuffle', ""de limiter le nombre de valeurs émises lors de l'étape de Reduce""]","[""de limiter le nombre de valeurs émises lors de l'étape de Reduce""]"
"Dans Hadoop, les partitioners permettent",Systèmes distribués,Test de positionnement,"['de combiner les entrées et les sorties', 'de mieux distribuer la charge lors de la phase de Shuffle', ""de limiter le nombre de valeurs émises lors de l'étape de Reduce""]",['de mieux distribuer la charge lors de la phase de Shuffle']
"Dans le cas d'une architecture distribuée, le théorème CAP nous oblige à choisir entre:",Systèmes distribués,Test de validation,"['Cohérence et Disponibilité', 'Partition et Cohérence', 'Partition et Disponibilité']",['Cohérence et Disponibilité']
"Dans le paradigme MapReduce, les combiners servent à: ",Systèmes distribués,Test de validation,"['Équilibrer la charge de travail des reducers', 'Diminuer le nombre de valeurs à émettre des mappers aux reducers', 'Accélérer les calculs', 'Tous ces points']",['Diminuer le nombre de valeurs à émettre des mappers aux reducers']
"Dans le paradigme MapReduce, les partitioners servent à: ",Systèmes distribués,Test de validation,"['Équilibrer la charge de travail des reducers', 'Diminuer le nombre de valeurs à émettre des mappers aux reducers', 'Accélérer les calculs', 'Tous ces points']",['Équilibrer la charge de travail des reducers']
"Dans un problème de fraude bancaire, la précision est-elle une métrique adaptée?
",Classification,Test de validation,"['Oui puisque c’est un problème de classification.', 'Non car le déséquilibre des deux classes ne permet pas une amélioration significative de cette métrique']",['Non car le déséquilibre des deux classes ne permet pas une amélioration significative de cette métrique']
Data science is ...,Data Science,Total Bootcamp,"['A set of techniques and tools used to get value out of data.', 'A scientific approach of data acquisition.', 'A set of empirical approachs used to define theoretical formulas and /or equations thanks to data.']",['A set of techniques and tools used to get value out of data.']
De donner une meilleure métrique dans toutes les situations,Classification,Test de validation,"['De donner une meilleure métrique dans toutes les situations', 'D’être plus facilement interprétable', 'D’identifier facilement des proportions d’observations en fonction de leur probabilité']",['D’identifier facilement des proportions d’observations en fonction de leur probabilité']
Des containers Docker peuvent communiquer entre eux grâce à,Docker,Test de positionnement,"['des volumes', 'des networks', 'des communications']",['des networks']
Docker est utilisé,Docker,Test de positionnement,"['pour développer rapidement et mettre en production facilement', ""pour améliorer les capacités d'une base de données"", 'pour améliorer la puissance de calcul']",['pour développer rapidement et mettre en production facilement']
Docker permet de persister des changements,Docker,Test de positionnement,"['Oui', 'Non', ""Oui à condition d'utiliser des volumes""]","[""Oui à condition d'utiliser des volumes""]"
Docker-compose est ,Docker,Test de positionnement,"[""un système qui permet de lancer plusieurs containers d'un coup"", ""un système d'orchestration de containers"", ""un répertoire d'images Docker""]","[""un système qui permet de lancer plusieurs containers d'un coup""]"
DockerHub est,Docker,Test de positionnement,"[""un système qui permet de lancer plusieurs containers d'un coup"", ""un système d'orchestration de containers"", ""un répertoire d'images Docker""]","[""un répertoire d'images Docker""]"
"En utilisant Flask, on permet à un utilisateur ou à une machine d'utiliser un service avec ",Automation,Test de validation,"['SQL', 'Python', 'HTTP', 'Java']",['HTTP']
Est-ce que les algorithmes de classification permettent de donner une probabilité d’appartenance à une classe plutôt que simplement l’étiquette?,Classification,Test de validation,"['Oui, c’est en général la base de tous les algorithmes de classification', 'Non, ce problème est un problème de régression']","['Oui, c’est en général la base de tous les algorithmes de classification']"
Hadoop permet de: ,Systèmes distribués,Test de validation,"['Stocker des données', 'Faire des calculs', 'Orchestrer des jobs MapReduce', 'Tous ces points']",['Tous ces points']
Hadoop streaming est un outil qui permet,Systèmes distribués,Test de validation,"[""De faire des jobs MapReduce avec n'importe quel langage de programmation"", 'De faire du traitement de données en temps réel', ""De stocker plusieurs copies d'un jeu de données"", 'De stocker des vidéos sur un système distribué']","[""De faire des jobs MapReduce avec n'importe quel langage de programmation""]"
Hive est ,Sytèmes distribués,Test de validation,"['Un système de gestion de bases de données relationnelles', 'Une abstraction de SGDB relationnelles', 'Une librairie de Hadoop']",['Une abstraction de SGDB relationnelles']
Hive permet,Systèmes distribués,Test de positionnement,"[""d'abstraire une base de données relationnelle"", ""de classer les documents par ordre d'importance"", ""d'orchestrer des clusters de machine""]","[""d'abstraire une base de données relationnelle""]"
Its applications are ...,Data Science,Total Bootcamp,"['Limited to a small amount of fields and use cases.', 'Close to unlimited and find use cases in almost every known fields where data can be collected.']",['Limited to a small amount of fields and use cases.']
Kafka est système de messagerie,Streaming de données,Test de positionnement,"['distribué', 'asynchrone', 'publication/abonnement', 'Tous ces points']",['Tous ces points']
Kafka est un système de messagerie,Streaming de données,Test de validation,"['Publication/Abonnement + Asynchrone', 'Publication/Abonnement + Synchrone', 'Orienté queue + Asynchrone', 'Orienté queue+ Synchrone']",['Publication/Abonnement + Asynchrone']
L'architecture lambda présente les couches,Streaming de données,Test de positionnement,"['batch', 'temps réel', 'service', 'Tous ces points']",['Tous ces points']
L'utilisation de systèmes distrubués permet,Systèmes distribués,Test de validation,"[""D'accélérer les calculs"", ""De sécuriser l'accés aux données"", ""D'augmenter facilement la capacité de stockage"", 'Tous ces points']",['Tous ces points']
